cate1,cate2,level,title,url,description,img,search,cdnimg
AI,基礎知識,初級,ビジネスパーソンが最低限知っておくべきAIの基本,http://tech.nikkeibp.co.jp/atcl/nxt/column/18/00998/,　「信頼性のある自由なデータ流通（Data Free Flow with Trust、DFFT）」の一部を構成するガバメントアクセスは、すでに机上の空論ではなく実務対応が必要な要件となりつつある。ガバメントアクセスの経緯や位置づけ、背景を概説し、その理念や目的について検討する。,/sites/tech.nikkeibp.co.jp/atcl/nxt/column/18/02299/top.jpg,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/nxt/column/18/00998/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
AI,基礎知識,中級,AI入門,http://tech.nikkeibp.co.jp/atcl/learning/lecture/19/00001/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/learning/lecture/19/00001/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
AI,基礎知識,中級,教養として知っておきたいAIの到達点,http://tech.nikkeibp.co.jp/atcl/nxt/column/18/01563/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/nxt/column/18/01563/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
AI,資格対策,中級,ディープラーニング「G検定」対策［前編］,http://tech.nikkeibp.co.jp/atcl/learning/lecture/19/00072/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/learning/lecture/19/00072/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
AI,数学的知識,中級,機械学習のための数学入門,http://tech.nikkeibp.co.jp/atcl/nxt/column/18/00816/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/nxt/column/18/00816/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
AI,数学的知識,上級,AIブームの立役者「強化学習」を直感的に理解する,http://tech.nikkeibp.co.jp/atcl/nxt/column/18/00913/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/nxt/column/18/00913/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
AI,資格対策,中級,ディープラーニング「G検定」対策［後編］,http://tech.nikkeibp.co.jp/atcl/learning/lecture/19/00073/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/learning/lecture/19/00073/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
AI,実装,中級,Pythonで役立つAIをつくる方法,http://tech.nikkeibp.co.jp/atcl/nxt/column/18/01408/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/nxt/column/18/01408/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
セキュリティー,暗号,初級,図解 暗号の用語と仕組み,http://tech.nikkeibp.co.jp/atcl/nxt/column/18/00308/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/nxt/column/18/00308/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
セキュリティー,実験,中級,試してわかるセキュリティー実験室,http://tech.nikkeibp.co.jp/atcl/nxt/column/18/01800/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/nxt/column/18/01800/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
セキュリティー,脆弱性,中級,ソフトに脆弱性が生まれるワケ,http://itpro.nikkeibp.co.jp/atcl/column/17/090100359/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/itpro.nikkeibp.co.jp/atcl/column/17/090100359/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
セキュリティー,認証,初級,絶対に分かる「ユーザー認証」,http://tech.nikkeibp.co.jp/atcl/nxt/column/18/01255/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/nxt/column/18/01255/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
セキュリティー,認証,初級,基礎から理解、ゼロトラストネットワーク,http://tech.nikkeibp.co.jp/atcl/nxt/column/18/01391/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/nxt/column/18/01391/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
セキュリティー,認証,初級,さらばパスワード、FIDOの正体,http://tech.nikkeibp.co.jp/atcl/nxt/column/18/01097/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/nxt/column/18/01097/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
セキュリティー,認証,中級,ゼロトラストを支える技術,http://tech.nikkeibp.co.jp/atcl/nxt/column/18/01449/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/nxt/column/18/01449/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
ネットワーク,インターネットの仕組み,初級,図解で学ぶIP,http://tech.nikkeibp.co.jp/atcl/learning/lecture/19/00020/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/learning/lecture/19/00020/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
ネットワーク,インターネットの仕組み,初級,図解で学ぶTCP,http://tech.nikkeibp.co.jp/atcl/learning/lecture/19/00021/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/learning/lecture/19/00021/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
ネットワーク,インターネットの仕組み,初級,図解で学ぶHTTP,http://tech.nikkeibp.co.jp/atcl/learning/lecture/19/00022/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/learning/lecture/19/00022/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
ネットワーク,インターネットの仕組み,初級,図解で学ぶIPアドレス,http://tech.nikkeibp.co.jp/atcl/learning/lecture/19/00023/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/learning/lecture/19/00023/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
ネットワーク,インターネットの仕組み,中級,図解で学ぶHTTP/3,http://tech.nikkeibp.co.jp/atcl/learning/lecture/19/00038/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/learning/lecture/19/00038/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
ネットワーク,ネットワークの基本,初級,異例の存在 イーサネット,http://tech.nikkeibp.co.jp/atcl/nxt/column/18/00252/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/nxt/column/18/00252/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
ネットワーク,ネットワークの基本,初級,イラストで学ぶネットワークのき・ほ・ん,http://itpro.nikkeibp.co.jp/atcl/column/17/103100466/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/itpro.nikkeibp.co.jp/atcl/column/17/103100466/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
ネットワーク,ネットワークの基本,初級,まるわかりDHCP,http://itpro.nikkeibp.co.jp/atcl/column/17/112900546/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/itpro.nikkeibp.co.jp/atcl/column/17/112900546/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
ネットワーク,ネットワーク運用,初級,やさしく分かるネットワーク監視,http://tech.nikkeibp.co.jp/atcl/nxt/column/18/01525/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/nxt/column/18/01525/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
ネットワーク,ネットワーク入門,初級,ネスペ試験に学ぶネットワーク技術,http://tech.nikkeibp.co.jp/atcl/nxt/column/18/01900/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/nxt/column/18/01900/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
ネットワーク,ネットワーク入門,初級,イラストでわかるネットワークの基礎,http://tech.nikkeibp.co.jp/atcl/nxt/column/18/01842/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/nxt/column/18/01842/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
ネットワーク,運用,中級,トラブル解決にはこう使う！コマンド七つ道具,http://itpro.nikkeibp.co.jp/atcl/column/17/110700486/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/itpro.nikkeibp.co.jp/atcl/column/17/110700486/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
ネットワーク,無線通信,初級,絶対分かる5Gの仕組み,http://tech.nikkeibp.co.jp/atcl/nxt/column/18/01329/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/nxt/column/18/01329/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
ネットワーク,無線通信,初級,イラストで学ぶ無線LANの基本［設計・構築］,http://tech.nikkeibp.co.jp/atcl/learning/lecture/19/00060/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/learning/lecture/19/00060/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
ネットワーク,無線通信,中級,安くて遠くまで届くIoT無線「LPWA」,http://tech.nikkeibp.co.jp/atcl/nxt/column/18/01930/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/nxt/column/18/01930/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
ネットワーク,無線通信,中級,見えてきた次世代モバイル「6G」,http://tech.nikkeibp.co.jp/atcl/nxt/column/18/01766/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/nxt/column/18/01766/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
ネットワーク,無線通信,中級,6GHz帯の無線LAN、Wi-Fi 6Eのインパクト,http://tech.nikkeibp.co.jp/atcl/nxt/column/18/01764/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/nxt/column/18/01764/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
ネットワーク,無線通信,中級,LPWAの仕組み,http://tech.nikkeibp.co.jp/atcl/nxt/column/18/00537/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/nxt/column/18/00537/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
ネットワーク,歴史,初級,インターネット進化論,http://tech.nikkeibp.co.jp/atcl/nxt/column/18/00273/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/nxt/column/18/00273/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
ネットワーク,歴史,中級,懐かしのプロトコル図鑑,http://tech.nikkeibp.co.jp/atcl/nxt/column/18/00886/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/nxt/column/18/00886/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
プログラミング,JavaScript,初級,クジラ飛行机「仕事に役立つJavaScript入門」,http://itpro.nikkeibp.co.jp/atcl/column/14/112000106/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/itpro.nikkeibp.co.jp/atcl/column/14/112000106/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
プログラミング,Python,初級,Python入門講座,http://tech.nikkeibp.co.jp/atcl/learning/lecture/19/00108/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/learning/lecture/19/00108/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
プログラミング,Python,初級,Pythonを使って学ぶ高校数学の基礎,http://tech.nikkeibp.co.jp/atcl/nxt/column/18/00754/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/nxt/column/18/00754/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
プログラミング,Python,初級,Python開発、はじめの一歩,http://tech.nikkeibp.co.jp/atcl/nxt/column/18/00777/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/nxt/column/18/00777/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
プログラミング,Python,初級,技術者のためのPython,http://tech.nikkeibp.co.jp/atcl/nxt/column/18/00843/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/nxt/column/18/00843/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
プログラミング,Python,初級,7日間でマスター、Pythonの基本,http://tech.nikkeibp.co.jp/atcl/nxt/column/18/00995/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/nxt/column/18/00995/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
プログラミング,Python,初級,イラストで学ぶ！はじめてのPython,http://tech.nikkeibp.co.jp/atcl/nxt/column/18/01933/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/nxt/column/18/01933/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
プログラミング,Python,初級,独学で一気に学ぶPython,http://tech.nikkeibp.co.jp/atcl/nxt/column/18/02030/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/nxt/column/18/02030/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
プログラミング,Python,中級,Pythonなら手軽に学べる！SQLの基本,http://tech.nikkeibp.co.jp/atcl/nxt/column/18/01862/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/nxt/column/18/01862/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
プログラミング,Python,中級,Pythonで役立つAIをつくる方法,http://tech.nikkeibp.co.jp/atcl/nxt/column/18/01408/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/nxt/column/18/01408/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
プログラミング,Python,中級,Pythonで作る3Dゲーム,http://tech.nikkeibp.co.jp/atcl/nxt/column/18/02075/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/nxt/column/18/02075/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
プログラミング,Python,上級,Pythonで作る人工生命,http://tech.nikkeibp.co.jp/atcl/nxt/column/18/01996/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/nxt/column/18/01996/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
プログラミング,アルゴリズム,初級,身近なアルゴリズム,http://tech.nikkeibp.co.jp/atcl/nxt/column/18/00321/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/nxt/column/18/00321/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
プログラミング,アルゴリズム,中級,万年カレンダーで学ぶアルゴリズム,https://xtech.nikkei.com/atcl/nxt/column/18/02318/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites//xtech.nikkei.com/atcl/nxt/column/18/02318/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
プログラミング,アルゴリズム,中級,ソフト開発の要、必修アルゴリズム10選,https://xtech.nikkei.com/atcl/nxt/column/18/02296/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites//xtech.nikkei.com/atcl/nxt/column/18/02296/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
プログラミング,論理演算,初級,論理演算の基本,http://tech.nikkeibp.co.jp/atcl/learning/lecture/19/00006/,,,https://bpsearch.nikkeibp.co.jp/NXT/2020/query.js?output=JSON&query=fq=path:/sites/tech.nikkeibp.co.jp/atcl/learning/lecture/19/00006/index.html,https://bpsearch.nikkeibp.co.jp/ALL/img2bpimage.json?path=/sitestop.jpg&callback=cb_bpimage
,,,,,,,,