rank,pref,rate
1,山形県,0.6407
2,新潟県,0.6256
3,山梨県,0.6071
4,島根県,0.6064
5,秋田県,0.6057
6,長野県,0.6040
7,北海道,0.6030
8,佐賀県,0.5946
9,岩手県,0.5915
10,石川県,0.5816
11,長崎県,0.5729
12,三重県,0.5709
13,熊本県,0.5702
14,大分県,0.5698
15,福島県,0.5669
16,岐阜県,0.5655
17,鳥取県,0.5643
18,沖縄県,0.5638
19,静岡県,0.5632
20,滋賀県,0.5632
21,鹿児島県,0.5609
22,福井県,0.5592
23,奈良県,0.5566
24,山口県,0.5523
25,愛知県,0.5465
26,青森県,0.5417
27,富山県,0.5400
平均,全国,0.5368
28,東京都,0.5364
29,福岡県,0.5331
30,香川県,0.5308
31,和歌山県,0.5296
32,宮城県,0.5283
33,神奈川県,0.5197
34,群馬県,0.5197
35,高知県,0.5187
36,栃木県,0.5165
37,茨城県,0.5153
38,埼玉県,0.5144
39,京都府,0.5090
40,愛媛県,0.5074
41,宮崎県,0.5048
42,広島県,0.5017
43,岡山県,0.5009
44,千葉県,0.4989
45,兵庫県,0.4862
46,大阪府,0.4839
47,徳島県,0.4647