順位,県番号,都道府県,2019有権者数,2019投票者数,2017有権者数,2017投票者数,2016有権者数,2016投票者数,2014有権者数,2014投票者数,2013有権者数,2013投票者数,2012有権者数,2012投票者数,衆参6回平均投票率
1,6,山形県,"925,158","561,961","940,435","602,522","952,172","592,418","942,004 ","557,158 ","951,018","577,852","954,033 ","618,803 ",61.97%
2,32,島根県,"574,258","310,330","579,556","351,419","586,162","364,577","579,362 ","343,200 ","587,809","357,932","585,351 ","384,818 ",60.48%
3,5,秋田県,"864,562","486,653","883,952","535,409","897,614","546,353","893,613 ","498,445 ","904,796","508,419","909,604 ","575,047 ",58.84%
4,20,石川県,"1,744,373","947,069","957,883","557,117","1,770,348","1,112,858","1,739,240 ","964,864 ","1,746,474","1,008,064","1,749,231 ","1,108,372 ",58.70%
5,3,岩手県,"1,066,495","603,115","1,079,066","638,216","1,092,042","630,961","1,078,983 ","606,711 ","1,090,900","627,548","1,088,422 ","671,353 ",58.16%
6,24,三重県,"1,496,659","773,570","1,509,922","861,986","1,518,247","907,077","1,491,847 ","838,434 ","1,497,457","865,767","1,498,408 ","918,335 ",57.31%
7,19,富山県,"693,775","357,741","899,957","485,982","705,769","415,188","693,210 ","410,219 ","696,851","394,791","697,487 ","444,104 ",57.17%
8,15,山梨県,"1,919,522","1,061,606","700,714","425,369","1,959,714","1,171,287","1,933,079 ","1,018,843 ","1,952,022","1,089,704","1,950,307 ","1,163,649 ",56.94%
9,1,北海道,"4,569,237","2,456,307","4,584,480","2,764,608","4,613,374","2,619,549","4,547,668 ","2,562,691 ","4,598,957","2,502,360","4,575,652 ","2,687,479 ",56.72%
10,31,鳥取県,"474,342","237,076","479,081","270,350","483,895","272,355","476,953 ","259,346 ","482,192","283,900","480,924 ","302,605 ",56.50%
11,17,新潟県,"952,304","447,560","1,940,512","1,213,995","960,487","546,304","939,612 ","461,959 ","940,663","517,180","941,028 ","582,685 ",56.48%
12,44,大分県,"969,453","489,971","981,039","559,042","989,619","577,747","974,572 ","546,796 ","981,222","521,509","982,586 ","610,902 ",56.24%
13,29,奈良県,"1,149,183","569,173","1,156,747","643,856","1,163,136","661,743","1,142,054 ","634,971 ","1,150,156","638,808","1,148,093 ","724,854 ",56.06%
14,41,佐賀県,"683,956","309,459","688,365","409,301","693,811","393,345","680,935 ","393,361 ","685,201","359,790","684,640 ","423,545 ",55.60%
15,25,滋賀県,"1,154,433","599,882","1,151,392","648,453","1,149,277","649,532","1,119,712 ","602,302 ","1,120,853","593,560","1,115,309 ","688,761 ",55.54%
16,13,東京都,"11,396,789","5,900,049","11,276,090","6,048,376","11,157,991","6,415,554","10,850,600 ","5,898,676 ","10,777,333","5,767,098","10,720,874 ","6,668,474 ",55.45%
17,21,福井県,"1,673,778","853,555","653,234","365,281","1,699,228","981,218","1,668,766 ","883,069 ","1,675,924","887,782","1,678,226 ","1,041,250 ",55.39%
18,7,福島県,"1,600,928","839,115","1,623,281","920,280","1,637,954","935,612","1,609,535 ","845,203 ","1,617,622","881,966","1,621,015 ","954,112 ",55.37%
19,18,静岡県,"646,976","308,201","3,097,215","1,744,379","657,443","371,429","645,723 ","322,843 ","648,742","348,905","649,614 ","401,128 ",55.11%
20,22,岐阜県,"3,074,712","1,551,423","1,689,118","955,157","3,111,085","1,734,621","3,055,970 ","1,699,340 ","3,066,436","1,566,616","3,068,476 ","1,894,844 ",55.09%
21,30,和歌山県,"816,550","411,689","828,829","438,942","838,098","463,357","828,475 ","422,947 ","835,882","459,228","837,801 ","514,188 ",54.36%
22,14,神奈川県,"7,651,249","3,728,103","7,613,730","3,957,009","7,577,073","4,202,475","7,386,768 ","3,980,246 ","7,365,069","4,011,927","7,342,072 ","4,395,414 ",54.02%
23,42,長崎県,"1,137,066","516,939","1,155,019","661,664","1,167,985","652,745","1,152,543 ","589,241 ","1,162,606","628,319","1,164,796 ","700,174 ",54.02%
24,23,愛知県,"6,119,143","2,948,450","6,100,472","3,334,192","6,074,520","3,366,173","5,906,225 ","3,200,511 ","5,886,532","3,099,523","5,868,215 ","3,466,412 ",54.00%
25,16,長野県,"891,171","417,762","1,760,521","1,063,297","904,805","503,153","890,272 ","422,546 ","894,714","449,459","896,363 ","509,975 ",53.96%
,,全国,"105,886,063","51,671,922","106,091,229","56,952,674","106,202,873","58,094,005","103,962,784 ","54,743,087 ","104,152,590","54,798,927","103,959,866 ","61,669,473 ",53.62%
26,47,沖縄県,"1,163,784","570,305","1,155,387","651,422","1,150,806","626,755","1,108,856 ","580,608 ","1,102,534","589,053","1,095,914 ","613,923 ",53.59%
27,35,山口県,"1,162,683","550,186","1,180,843","652,161","1,191,751","635,822","1,179,012 ","625,755 ","1,189,566","598,922","1,192,449 ","715,898 ",53.25%
28,38,愛媛県,"1,161,978","608,817","1,177,269","597,318","1,188,362","669,772","1,173,357 ","584,334 ","1,182,796","584,321","1,184,972 ","705,723 ",53.05%
29,43,熊本県,"1,471,767","695,050","1,486,315","847,518","1,500,518","772,157","1,475,268 ","738,446 ","1,484,583","776,404","1,481,444 ","867,062 ",52.77%
30,46,鹿児島県,"1,371,428","627,480","1,378,842","773,331","1,395,089","779,229","1,377,390 ","695,231 ","1,394,995","703,305","1,389,355 ","789,008 ",52.58%
31,28,兵庫県,"4,603,272","2,237,085","4,622,417","2,247,447","4,631,741","2,488,871","4,535,145 ","2,306,550 ","4,545,807","2,410,407","4,541,009 ","2,660,641 ",52.22%
32,4,宮城県,"1,942,518","993,990","1,943,938","1,026,961","1,947,737","1,020,380","1,904,741 ","937,700 ","1,906,260","967,382","1,897,053 ","1,047,982 ",51.93%
33,10,群馬県,"1,630,505","785,514","1,641,480","853,085","1,650,035","833,437","1,616,626 ","836,133 ","1,621,683","839,213","1,622,565 ","930,277 ",51.90%
34,8,茨城県,"2,431,531","1,094,580","2,448,109","1,261,560","2,457,957","1,248,026","2,411,708 ","1,332,193 ","2,418,255","1,200,802","2,420,501 ","1,424,435 ",51.83%
35,27,大阪府,"7,311,131","3,555,053","7,305,335","3,535,368","7,292,841","3,809,288","7,119,444 ","3,607,709 ","7,116,682","3,752,106","7,103,872 ","4,146,674 ",51.81%
36,11,埼玉県,"6,121,021","2,845,047","6,095,412","3,135,516","6,069,018","3,152,336","5,906,854 ","3,069,872 ","5,882,567","3,012,558","5,865,464 ","3,366,941 ",51.70%
37,37,香川県,"825,466","373,999","829,665","440,387","834,059","417,392","819,924 ","414,578 ","826,930","430,704","824,554 ","486,811 ",51.68%
38,26,京都府,"2,126,435","987,180","2,129,886","1,084,137","2,132,372","1,090,830","2,087,647 ","1,064,427 ","2,099,140","1,092,693","2,091,750 ","1,218,759 ",51.61%
39,12,千葉県,"5,244,929","2,374,964","5,225,120","2,607,028","5,201,477","2,705,717","5,072,628 ","2,599,061 ","5,062,684","2,491,826","5,055,908 ","2,957,238 ",50.99%
40,40,福岡県,"4,225,217","1,810,510","4,227,727","2,253,953","4,224,093","2,232,596","4,125,069 ","2,013,338 ","4,117,671","2,032,478","4,112,260 ","2,357,866 ",50.74%
41,9,栃木県,"1,634,678","721,568","1,646,562","850,487","1,653,308","849,497","1,622,745 ","812,991 ","1,625,367","807,716","1,626,704 ","890,046 ",50.28%
42,34,広島県,"2,346,879","1,048,374","2,355,504","1,181,684","2,363,368","1,171,849","2,314,027 ","1,157,399 ","2,324,694","1,162,108","2,319,885 ","1,316,778 ",50.19%
43,33,岡山県,"1,587,953","715,907","1,594,057","798,526","1,599,520","813,484","1,567,111 ","793,033 ","1,576,112","770,478","1,571,500 ","868,630 ",50.13%
44,2,青森県,"1,109,105","476,241","1,125,240","609,528","1,140,629","630,882","1,129,489 ","528,911 ","1,145,833","529,933","1,144,420 ","620,224 ",49.98%
45,39,高知県,"610,498","282,912","620,580","321,874","628,348","286,003","621,991 ","317,092 ","627,921","313,269","630,554 ","339,827 ",49.76%
46,45,宮崎県,"920,474","384,656","926,261","467,587","936,443","465,962","922,019 ","459,705 ","931,962","464,278","927,973 ","516,815 ",49.58%
47,36,徳島県,"636,739","245,745","644,670","299,594","651,552","306,089","644,012 ","304,099 ","651,117","320,964","651,233 ","376,632 ",47.77%