name,ytFollower_s,ytAvg_s,igFollower_s,igImp_s,twFollower_s,twImp_s,ytFollower_h,ytAvg_h,igFollower_h,igImp_h,twFollower_h,twImp_h
AKB48,,,,,,,81.90386924,52.06817512,64.00645868,57.24882363,54.36662623,49.04425845
ALPACO,,,,,,,80.27127927,50.493785,14.66014471,0,0,0
BTS ,,,,,,,0,0,0,0,99.19615783,94.10705152
d,,,,,,,0,0,88.19923002,51.72152829,0,0
E ve,,,,,,,83.8647897,94.4089151,72.39886706,78.06885693,76.35108818,84.08010764
Fumiya,,,,,,,80.74248044,48.66799317,77.41836634,65.60521494,59.81873933,35.70696757
Goose house,,,,,,,82.3715427,64.58087018,53.70380766,0,62.07590369,9.588549343
koki,,,,,,,0,0,90.41232677,79.29956902,0,0
Nino,,,,,,,91.77049502,77.87521831,66.24854244,66.22171102,22.57811733,0
Official髭男dism,,,,,,,80.97183459,58.65166121,73.19984672,66.16649542,68.39459558,59.38741264
ONE OK ROCK,,,,,,,86.82361332,65.79007716,84.80587352,83.59429046,82.27909369,72.07203776
RADWIMPS,,,,,,,79.46721537,72.8963896,74.53484987,69.29249665,78.03049952,64.91998806
Ryoya Takashima,,,,,,,81.52813768,0,60.01685598,0,0,0
Taka,,,,,,,0,0,89.09734428,91.52652738,0,0
TWICE,,,,,,,86.07753454,61.39966138,0,0,85.00839833,85.97818632
イモトアヤコ,,,,,,,0,0,87.65440928,75.01564447,79.13787543,38.33205196
ヴァンゆん,,,,,,,80.56777297,68.86217763,63.74279101,64.59341181,64.29137442,55.91316019
えなきむら,,,,,,,80.80019899,37.34717075,29.91194169,0,21.5157866,0
Kan&Aki's CHANNEL,,,,,,,85.48849688,61.49472075,60.33513428,57.54041624,43.42515301,37.95809161
おるたなChannel,,,,,,,81.52813768,60.23172486,0,0,60.6222508,45.72974178
カジサック,,,,,,,80.5090121,66.59084745,70.49429989,74.0901636,64.43536227,51.15729854
かねこ,,,,,,,89.02019919,74.76228329,59.7705276,53.99863189,70.11516531,57.65812542
かんなとあきら,,,,,,,79.96787366,27.88820744,51.91964974,47.66997588,37.21114531,23.24307058
キズナアイ,,,,,,,84.22386105,53.99096249,66.52764673,50.59010279,72.40564064,59.91481317
きゃりーぱみゅぱみゅ,,,,,,,64.85830734,58.12628904,82.22120323,65.86825574,92.81640242,62.1967426
キヨ,,,,,,,85.16309215,74.75364342,72.70025025,84.50179235,81.78992645,88.6496367
コバソロ,,,,,,,83.63523329,62.44474662,59.25664928,43.58834257,55.3107638,30.42466907
じゅんや,,,,,,,97.07259844,57.28196044,64.80171035,51.15015309,22.49509712,0
スカイピース,,,,,,,85.48849688,71.14693768,0,0,74.92657077,67.9893709
セイキン,,,,,,,88.10032851,67.73517484,68.27088178,56.81523364,78.7039616,59.66380439
せんももあいしーCh,,,,,,,100,51.66083763,13.39293143,0,12.48146664,0
ダルビッシュ有(Yu Darvish),,,,,,,62.91713294,71.73606819,73.49403815,64.52476301,86.18807405,61.02680738
ダレノガレ明美,,,,,,,37.24891974,39.58377139,83.26793216,63.65132109,84.15570899,57.49183723
なーちゃんねる,,,,,,,80.6845048,43.32628925,0,0,40.02218403,18.78652056
にーさら,,,,,,,82.97006244,70.1439431,0,0.376595548,9.241440871,0
はじめしゃちょー(hajime),,,,,,,99.00094718,75.55368429,79.84254335,78.22616973,91.69470168,74.70507387
はじめしゃちょー2,,,,,,,82.872201,58.22218616,0,0,0,0
はじめしゃちょーの畑,,,,,,,80.09008593,63.14090042,52.3288187,0,71.70845023,63.52136507
はねまり,,,,,,,89.17242913,51.70431894,23.01044598,12.42403425,15.38488215,8.056987164
ヒカキン（HikakinGames）,,,,,,,91.31641951,74.80811647,0,0,0,0
ヒカキン（HikakinTV）,,,,,,,98.91531851,81.00368757,78.94181088,76.69269331,89.67909621,68.20431398
ヒカル,,,,,,,89.38260342,73.86330291,72.97270816,67.39746254,80.13129695,66.16492473
フィッシャーズ,,,,,,,94.86677324,77.03698711,71.6314459,68.38216001,79.62947276,60.24377453
フィッシャーズ-セカンダリ-,,,,,,,82.11380139,60.54479635,0,0,0,0
フェルミ研究所,,,,,,,80.21116133,61.57711091,0,0,63.30696836,0
ブライアン,,,,,,,83.06719357,74.38789441,70.3157608,71.68111872,84.69500295,75.72454911
ポッキー,,,,,,,84.61631824,60.00216703,64.46240883,0,74.04886964,64.14725521
まーちゃん おーちゃん,,,,,,,82.4732269,65.71357094,50.13986661,42.93480236,40.09267629,37.10595641
まふまふ,,,,,,,83.9102191,75.18191366,0,0,83.34974385,88.37339759
ムロツヨシ,,,,,,,0,0,90.27909176,80.52880191,83.8887062,71.48489945
メンタリスト DaiGo,,,,,,,81.36372904,44.98487871,49.9433468,0,74.79236371,45.98782091
ヨルシカ,,,,,,,79.90633449,80.46303179,66.04374035,65.97108865,67.94391038,67.38156897
りく,,,,,,,92.58723408,0,73.53014431,75.67461256,76.33116113,68.44765467
レイチェル＆ジュン,,,,,,,82.97006244,0,66.94944969,0,59.73398594,65.20984924
れーと先生,,,,,,,83.16360521,67.39054174,26.26663879,17.13929839,46.01780905,41.8126754
レトルト,,,,,,,79.53086102,61.56014419,65.03646058,0,74.86307817,75.94530003
ローラ,,,,,,,66.40872579,60.09574419,96.63436464,80.71457681,91.01254927,63.62057609
圧倒的不審者の極み,,,,,,,86.00051946,77.13097544,0,0,41.96276291,52.51010026
安倍晋三,,,,,,,0,0,75.23213122,0,85.0011093,87.72303319
宇多田ヒカル,,,,,,,74.09382395,99.85428027,75.90690892,74.71008348,88.13826251,88.44110915
永野芽郁,,,,,,,0,0,91.0580978,91.36244695,83.19633825,80.37752387
横浜流星,,,,,,,0,0,87.24846943,89.20592464,0,0
加藤ひなた,,,,,,,79.84450297,68.34057355,68.2059687,58.277179,69.53187249,70.66747768
河野太郎,,,,,,,48.97720402,53.95840505,55.10834952,46.68373707,85.25860744,70.16738204
賀来賢人,,,,,,,0,0,86.18073163,77.495934,74.96972089,0
岩田剛典,,,,,,,0,0,88.88761738,87.99715849,84.82001143,79.02402439
吉岡里帆,,,,,,,0,0,89.11009213,78.36334811,0,0
吉高由里子,,,,,,,0,0,0,0,88.08371513,72.94202714
宮川大輔,,,,,,,0,0,84.79043931,71.70040195,84.80572316,44.81758901
宮迫博之,,,,,,,74.56716742,66.81791614,54.86745694,49.1463581,86.7128653,51.62211908
橋下徹,,,,,,,37.53996193,14.64467222,57.16191801,0,86.54975097,52.63515524
橋本環奈,,,,,,,0,0,86.64915591,87.86289669,89.47990431,88.13366516
桐崎栄二,,,,,,,84.39974901,73.15162449,62.48091897,0,74.9561595,36.74352762
桐谷美玲,,,,,,,0,0,91.275966,80.49333781,58.76581344,45.80416526
近藤麻理恵,,,,,,,37.41141262,34.01423629,92.24320257,68.93262193,28.32442854,0
兄者弟者,,,,,,,84.39974901,57.13109174,0,0,0,0
戸田恵梨香,,,,,,,0,0,91.39530965,84.37852045,60.51993046,66.36039358
広瀬すず,,,,,,,0,0,89.04937819,90.46030114,90.52319916,77.1678744
江頭2：50,,,,,,,81.19721703,67.01160721,49.11126914,40.38727407,58.64737815,47.04554113
高畑充希,,,,,,,0,0,88.894144,81.40396814,0,0
今田美桜,,,,,,,0,0,90.49733675,87.66726055,0,0
佐々木希,,,,,,,0,0,93.16117173,76.46576255,61.95635499,0
佐藤健,,,,,,,79.20947405,65.31324586,0,0,0,0
菜々緒,,,,,,,0,0,88.60576285,77.655291,76.98546935,67.54501055
三浦翔平,,,,,,,0,0,86.90509893,81.61309667,0,0
三上悠亜,,,,,,,60.24956027,52.40705575,88.96886159,73.19612989,82.67668693,73.44267325
三村マサカズ,,,,,,,0,0,0,0,88.77341009,64.6899812
三代目 J Soul Brothers,,,,,,,55.75799882,34.50190621,63.8491878,0,87.62624807,66.0286773
山下智久,,,,,,,0,0,94.1916339,100,0,0
山田孝之,,,,,,,0,0,90.01519105,73.72232292,77.43177593,0
山本彩,,,,,,,47.72340542,45.20725407,80.41328104,76.00089118,85.0866003,65.70386274
山﨑賢人,,,,,,,0,0,92.83466219,96.54316052,0,0
指原莉乃,,,,,,,66.46082263,78.58715024,81.90743037,79.42494513,88.32601456,68.90749559
糸井重里,,,,,,,0,0,0,0,85.24488436,31.20651513
篠田麻里子,,,,,,,43.226525,40.13415845,76.27280935,61.28386766,85.72998071,52.11866135
小松菜奈,,,,,,,0,0,86.29034556,85.14265709,0,0
小島秀夫,,,,,,,0,0,81.79317405,66.78314285,87.71163995,63.84828702
小嶋陽菜,,,,,,,60.74283867,57.78228708,89.03333245,67.33760719,88.06670693,61.53175748
松本人志,,,,,,,0,0,0,0,97.13063878,90.132579
新田真剣佑,,,,,,,0,0,89.10690686,88.04360129,78.08000389,71.8031337
新木優子,,,,,,,0,0,92.64968066,84.40819211,0,0
森咲智美,,,,,,,58.48761869,51.90372282,92.4827248,77.87272705,65.51088573,53.03701283
深田恭子,,,,,,,0,0,91.44948382,90.41736242,0,0
水原希子,,,,,,,35.99695822,48.31431578,95.55266114,77.23376352,73.30542209,34.77707109
水川あさみ,,,,,,,0,0,86.59876574,72.93054115,31.85600672,46.48469882
水溜りボンド,,,,,,,88.83514142,67.00964476,0,0,0,0
菅田将暉,,,,,,,66.35641958,100,75.82353501,0,88.65063655,79.72807379
石田ゆり子,,,,,,,0,0,88.70625298,85.15497998,0,0
千鳥ノブ,,,,,,,0,0,88.67288091,78.65361135,80.87269814,67.02889452
川口春奈,,,,,,,73.19584647,61.99127028,89.36751709,81.66648497,55.60284708,50.73758233
前田敦子,,,,,,,0,0,77.95170868,72.75718568,84.07234299,59.64541102
前澤友作,,,,,,,65.85781647,70.90689338,80.8467369,73.8319893,100,91.40397248
孫正義,,,,,,,0,0,0,0,87.22359212,79.4125432
村上隆,,,,,,,0,0,87.31093029,69.6874664,62.68684219,24.47958349
大島優子,,,,,,,0,0,87.34587475,70.79094489,79.44101144,64.42801343
竹内涼真,,,,,,,0,0,88.34604423,80.61911748,83.2317454,65.63021661
竹脇まりな,,,,,,,80.6845048,58.04095241,72.70025025,64.5211844,59.21203124,50.02035741
中村アン,,,,,,,0,0,88.47684136,70.23104906,77.98436375,61.93703936
中田敦彦,,,,,,,87.46036854,73.62234445,0,0,0,0
仲里依紗,,,,,,,73.40081939,73.69579232,89.20827987,83.02874223,73.27035513,50.23626785
長澤まさみ,,,,,,,0,0,90.18915867,95.23876112,0,0
田村淳,,,,,,,31.53090199,34.47922521,79.00082918,71.11189153,88.29858684,65.04372373
田中達也,,,,,,,0,0,89.00437776,76.01050802,68.34916106,63.39594172
渡辺直美,,,,,,,70.44555065,80.39021955,100,96.82963237,83.80701356,78.38934595
登坂広臣,,,,,,,45.14403144,45.68437562,85.8847608,84.20755137,86.55576055,80.52568209
東海オンエア,,,,,,,93.15668234,80.93879326,0,0,0,0
東海オンエア（てつや）,,,,,,,0,0,0,0,84.14643455,74.1093076
東海オンエアの控え室,,,,,,,83.16360521,67.02357515,0,0,0,0
東海オンエアしばゆー あやなん,,,,,,,81.47356523,72.69416701,0,0,0,0
藤原しおり,,,,,,,0,51.1297032,87.68058229,64.89942177,44.09013159,35.25289439
藤田ニコル,,,,,,,65.28255415,57.07449765,91.54229532,78.91464752,86.82063793,64.54113216
徳井義実,,,,,,,0,0,77.80732571,64.99646114,84.64420105,41.757118
板野友美,,,,,,,47.42758562,43.65908443,79.98426724,68.23837323,84.3036153,55.78727902
浜辺美波,,,,,,,0,0,86.63658482,90.81544017,83.0206547,80.11046214
米津玄師,,,,,,,92.90918893,0,81.94990489,87.88764723,86.27729439,93.81951585
堀江貴文,,,,,,,72.56081756,48.76003503,62.10364307,39.10865608,89.1865622,38.4363625
本田翼,,,,,,,80.44998474,0,89.95161338,84.84299956,0,0
明日花キララ,,,,,,,52.29973636,71.52459213,87.57542994,71.94940819,83.08039814,66.94683103
妄想グルメ,,,,,,,84.61631824,39.92072452,37.72495968,0,28.28636758,1.170231898
木下ゆうか,,,,,,,92.39961987,52.1718844,67.6690675,44.13402552,64.3658955,33.15133297
木村拓哉,,,,,,,0,0,90.20890855,87.20086802,0,0
木村文乃,,,,,,,0,0,87.68804632,76.44096413,57.67988336,60.4948137
有吉弘行,,,,,,,0,0,86.05635621,73.29764901,96.45036556,75.6947009
有村架純,,,,,,,0,0,92.00866639,88.86535425,68.71707065,73.70920599
嵐,,,,,,,85.32681143,85.21865122,92.89339592,98.76650287,85.96194052,100
☆イニ☆(じん)*,,,,,,,0,0,74.85144678,74.54483907,77.11080674,63.99790566
HIMAWARIちゃんねる（パパ）*,,,,,,,0,0,0,0,36.11007292,32.88278993
あやなん*,,,,,,,0,0,79.99305124,77.58475345,78.50550132,70.67860195
ヴァンビ*,,,,,,,0,0,0,0,67.19783682,55.4700887
スカイピース（STAFF）*,,,,,,,0,0,0,0,48.76768143,53.68382724
テオくん*,,,,,,,0,0,75.20226268,80.27061548,77.85302366,64.81477286
ゆん*,,,,,,,0,0,70.1598536,67.29077511,70.33414755,58.95291722
兄者弟者（兄者）*,,,,,,,0,0,59.04258147,57.42582413,71.69541952,57.27998512
兄者弟者（弟者）*,,,,,,,0,0,60.2566148,61.21272774,75.55642226,59.17093078
水溜まりボンド（カンタ）*,,,,,,,0,0,70.76788851,65.16433719,79.84424533,57.98983052
水溜まりボンド（トミー）*,,,,,,,0,0,72.25468765,65.87139881,78.28252807,60.39288133
東海オンエア（しばゆー）*,,,,,,,0,0,75.03618801,74.88724941,79.16017765,76.35664311
東海オンエア（としみつ）*,,,,,,,0,0,75.94830772,74.29646847,80.81343472,71.10688367
東海オンエア（ゆめまる）*,,,,,,,0,0,0,0,76.39657801,68.61078202
東海オンエア（りょう）*,,,,,,,0,0,72.79850722,0,80.99822507,73.26742059
東海オンエア（虫眼鏡）*,,,,,,,0,0,71.47430591,0,79.99380662,68.23409005